time,covered,cov-ratio
0.11,47,4.23%
25.79,49,4.41%
28.76,50,4.50%
38.63,54,4.86%
183.88,55,4.95%
194.89,59,5.31%
213.18,63,5.67%
397.35,64,5.76%
476.17,65,5.85%
616.31,108,9.72%
638.90,112,10.08%
639.00,113,10.17%
653.91,167,15.03%
657.19,170,15.30%
668.46,171,15.39%
684.71,223,20.07%
686.85,225,20.25%
768.95,240,21.60%
798.84,243,21.87%
826.98,247,22.23%
874.10,248,22.32%
879.17,250,22.50%
886.56,274,24.66%
971.29,275,24.75%
989.32,276,24.84%
1124.82,277,24.93%
1911.48,307,27.63%
2027.55,316,28.44%
2067.25,353,31.77%
2070.66,356,32.04%
2076.02,373,33.57%
2079.28,374,33.66%
2083.16,376,33.84%
2085.48,377,33.93%
2089.85,379,34.11%
2094.52,382,34.38%
2143.54,383,34.47%
