time,covered,cov-ratio
0.10,47,4.23%
2.44,48,4.32%
10.06,49,4.41%
18.99,55,4.95%
143.98,57,5.13%
268.30,58,5.22%
278.27,60,5.40%
341.75,102,9.18%
361.70,103,9.27%
400.87,109,9.81%
432.70,110,9.90%
499.14,112,10.08%
513.12,165,14.85%
573.46,173,15.57%
590.44,176,15.84%
653.93,177,15.93%
727.31,228,20.52%
740.47,229,20.61%
750.49,230,20.70%
820.50,265,23.85%
894.56,266,23.94%
957.12,267,24.03%
966.94,272,24.48%
1323.73,282,25.38%
1326.12,284,25.56%
1496.86,286,25.74%
1683.28,287,25.83%
1709.51,288,25.92%
1718.29,289,26.01%
1920.32,290,26.10%
1977.95,294,26.46%
2445.03,295,26.55%
