time,covered,cov-ratio
0.10,47,4.23%
15.83,49,4.41%
86.26,50,4.50%
451.76,51,4.59%
548.04,57,5.13%
1008.90,99,8.91%
1384.02,155,13.95%
1481.91,210,18.90%
1486.13,215,19.35%
1486.83,217,19.53%
1488.79,218,19.62%
1491.40,220,19.80%
1498.40,223,20.07%
1498.83,254,22.86%
1509.84,255,22.95%
1514.50,257,23.13%
1515.39,259,23.31%
1542.33,260,23.40%
2090.50,261,23.49%
2271.84,271,24.39%
3312.05,272,24.48%
3861.29,280,25.20%
3871.31,282,25.38%
4167.96,283,25.47%
4831.78,321,28.89%
4877.37,324,29.16%
4972.23,339,30.51%
5015.74,340,30.60%
5020.35,361,32.49%
5123.84,369,33.21%
5719.82,370,33.30%
5972.16,372,33.48%
6052.29,377,33.93%
6120.86,382,34.38%
6291.87,390,35.10%
6315.72,397,35.73%
6439.09,399,35.91%
6538.88,406,36.54%
6990.48,407,36.63%
7051.88,409,36.81%
7058.44,413,37.17%
7269.20,415,37.35%
7736.26,418,37.62%
8236.28,422,37.98%
9041.16,423,38.07%
10597.72,427,38.43%
10675.18,428,38.52%
11293.22,437,39.33%
11557.86,438,39.42%
11570.11,439,39.51%
11589.85,440,39.60%
11820.00,442,39.78%
11930.99,446,40.14%
12248.85,448,40.32%
12372.41,449,40.41%
12566.86,450,40.50%
14733.99,451,40.59%
15237.34,454,40.86%
15256.62,455,40.95%
15291.87,456,41.04%
15303.44,457,41.13%
16720.85,459,41.31%
17181.88,461,41.49%
19374.00,462,41.58%
19498.04,463,41.67%
30071.31,465,41.85%
30163.86,489,44.01%
30545.93,511,45.99%
30547.89,514,46.26%
30550.42,515,46.35%
30716.77,522,46.98%
30761.74,523,47.07%
31039.89,532,47.88%
31930.71,533,47.97%
111974.52,534,48.06%
