time,covered,cov-ratio
0.10,43,3.87%
34.13,44,3.96%
230.01,47,4.23%
548.95,48,4.32%
667.20,49,4.41%
1322.13,92,8.28%
1340.94,93,8.37%
1362.38,94,8.46%
1365.72,142,12.78%
1387.69,143,12.87%
1396.58,145,13.05%
1429.01,146,13.14%
1449.70,154,13.86%
1493.32,177,15.93%
1525.45,178,16.02%
1612.27,269,24.21%
1831.28,270,24.30%
1876.72,288,25.92%
1921.90,290,26.10%
2257.67,295,26.55%
2711.96,296,26.64%
2904.12,297,26.73%
3272.21,299,26.91%
3590.86,300,27.00%
3674.66,305,27.45%
3811.29,314,28.26%
3909.63,315,28.35%
4187.22,316,28.44%
4311.97,320,28.80%
4324.59,321,28.89%
4333.10,326,29.34%
4342.77,332,29.88%
4357.93,362,32.58%
4373.47,364,32.76%
4441.41,366,32.94%
4443.68,381,34.29%
4689.17,382,34.38%
4716.27,383,34.47%
5664.00,385,34.65%
5844.89,387,34.83%
6095.40,388,34.92%
6144.35,389,35.01%
6253.44,402,36.18%
6409.82,411,36.99%
